Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2018/01/11 9:53:22 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Consola,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP),jQuery;jQuery UI;AngularJS,Pug,Gulp,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services,Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups,Android,
2018/01/11 9:58:36 a. m. GMT-5,Lima,24 - 30 años,Mujer,Graduado de instituto,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 4501 a 5500 soles,Es igual,Microsoft Windows,Depurador de JavaScript / Debugger,De 4 a 6 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery;jQuery UI;AngularJS;Backbone.js,Stylus;JADE,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services,Documentación en la web;En la universidad o instituto,Android,
2018/01/11 10:00:08 a. m. GMT-5,Lima,24 - 30 años,Mujer,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails,jQuery;jQuery UI;React;Ember.js;Vue.js;AngularJS,SASS;Stylus;Pug;CoffeeScript,Gulp;WebPack,MySQL;PostgreSQL,MongoDB,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas",,
2018/01/11 10:00:34 a. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiantes de instituto,Menos de 1 año,Trabajo como dependiente e independiente,No,No,,,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Depurador de JavaScript / Debugger,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Laravel (PHP),jQuery;AngularJS;Vue.js,SASS,Gulp,MySQL,MongoDB,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto",Android,Ionic Framework
2018/01/11 10:04:33 a. m. GMT-5,Lima,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);Django (Python);Zend Framework;Spring Boot (Java),jQuery;jQuery UI;AngularJS;React,SASS;LESS;Pug,Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Redis,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups",Webapps móviles (híbridas para cualquier plataforma),Phonegap
2018/01/11 10:10:37 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola,Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,No conozco,No conozco,Symfony (PHP);Express (Node.js),jQuery,,Gulp,MySQL;Microsoft SQL Server,MongoDB,Amazon Web Services;Google Cloud Platform,Documentación en la web;Cursos en línea de plataformas de pago;En la universidad o instituto;Seminarios Web / Webinars,Webapps móviles (híbridas para cualquier plataforma),Phonegap
2018/01/11 10:27:46 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,Menos de 1 año,Ruby on Rails;Spring Boot (Java),jQuery UI;AngularJS,SASS,,PostgreSQL,Apache Cassandra,Amazon Web Services,En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto,Webapps móviles (híbridas para cualquier plataforma),Phonegap
2018/01/11 10:28:46 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 3501 a 4500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI;AngularJS;Vue.js,SASS,WebPack,MySQL,,Linode;Digital Ocean,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),
2018/01/11 10:32:33 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como dependiente e independiente,No,Sí,,,No,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP);Django (Python),jQuery,LESS,,MySQL,,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo",,
2018/01/11 10:38:28 a. m. GMT-5,Lima,17 - 23 años,Mujer,Estudiantes de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,,jQuery,,,,,Una nube privada (implementación a medida);Google Cloud Platform,Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Cursos de educación continua (fuera de planes de estudio superior),Android;Webapps móviles (híbridas para cualquier plataforma),
2018/01/11 10:43:13 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,No conozco,Drupal,jQuery;jQuery UI,SASS;LESS;Stylus,Gulp,MySQL,,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo;Seminarios Web / Webinars",,
2018/01/11 10:48:50 a. m. GMT-5,Lima,41 - 50 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como dependiente e independiente,No,Sí,,,No,De 5501 a más,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,No conozco,Menos de 1 año,No conozco,,jQuery;AngularJS;Knockout,,,MySQL;Oracle Database,MongoDB,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Apache Cordova;Phonegap
2018/01/11 11:05:43 a. m. GMT-5,Lima,24 - 30 años,Hombre,Maestría,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,De 1 a 3 años,No conozco,De 1 a 3 años,De 1 a 3 años,Más de 6 años,De 4 a 6 años,De 1 a 3 años,Laravel (PHP);Django (Python);Zend Framework;Flask (Python),jQuery;jQuery UI;AngularJS;Backbone.js;React;Vue.js;Sencha,Stylus,Grunt;Gulp,MySQL;PostgreSQL,MongoDB;Redis,Amazon Web Services,Documentación en la web;Seminarios Web / Webinars,Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework;Apache Cordova
2018/01/11 11:13:03 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Ha disminuido,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);Django (Python),jQuery,,,MySQL,,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",,
2018/01/11 11:13:09 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de instituto,Menos de 1 año,Trabajo como dependiente,,,Sí,,No,De 1501 a 2500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,,,,,Microsoft SQL Server,,,Documentación en la web;En la universidad o instituto;Seminarios Web / Webinars,,
2018/01/11 11:21:14 a. m. GMT-5,Lima,17 - 23 años,Mujer,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,Menos de 1500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP),jQuery;jQuery UI;AngularJS;Backbone.js;React;Vue.js,SASS;LESS;Stylus;Pug,Gulp,MySQL,,Amazon Web Services;Una nube privada (implementación a medida);IBM Cloud,Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars,,
2018/01/11 11:21:53 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 4501 a 5500 soles,Ha aumentado,GNU/Linux,Consola,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Zend Framework;Symfony (PHP);Spring Boot (Java),jQuery;AngularJS,SASS;CoffeeScript,Gulp,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database;Informix,,,Cursos en línea de plataformas de pago;En la universidad o instituto,Android,Ionic Framework
2018/01/11 11:24:59 a. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiante de universidad,Menos de 1 año,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,No conozco,No conozco,De 1 a 3 años,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);Django (Python),jQuery;jQuery UI;AngularJS;Backbone.js;React;Vue.js,,,MySQL;Microsoft SQL Server;Oracle Database,MongoDB;CouchDB,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android,
2018/01/11 11:40:27 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 2501 a 3500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Django (Python);Ruby on Rails,jQuery;React,Stylus,Gulp,MySQL;Microsoft SQL Server,MongoDB;Redis,Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android,Ionic Framework
2018/01/11 11:43:18 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 4501 a 5500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,De 1 a 3 años,No conozco,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,De 4 a 6 años,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Flask (Python),,SASS;CoffeeScript,Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Una nube privada (implementación a medida);Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",PWA,VueJS PWA
2018/01/11 11:53:02 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 2501 a 3500 soles,Ha aumentado,GNU/Linux,Consola;Depurador de JavaScript / Debugger,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP),jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;Vue.js,SASS;LESS;Stylus;PostCSS,Grunt;Gulp,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android,
2018/01/11 12:08:51 p. m. GMT-5,Lima,41 - 50 años,Hombre,Estudiante de universidad,Mayor a 10 años,Trabajo como independiente,,,,Sí,Sí,Menos de 1500 soles,Ha disminuido,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,Más de 6 años,De 1 a 3 años,No conozco,CodeIgniter (PHP);Django (Python);CakePHP;Express (Node.js);Drupal;WordPress,jQuery;jQuery UI;AngularJS;React;Vue.js,SASS;LESS;Pug,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services;Google Cloud Platform;Heroku;Firebase,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),Reac Native
2018/01/11 12:37:01 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Es igual,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP);Sinatra (Ruby),jQuery;jQuery UI;AngularJS;React,SASS;LESS;Stylus,Grunt;Gulp,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB,Amazon Web Services;Una nube privada (implementación a medida);Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Webapps móviles (híbridas para cualquier plataforma),
2018/01/11 12:50:48 p. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 4501 a 5500 soles,Es igual,Mac,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,No conozco,No conozco,No conozco,De 1 a 3 años,Más de 6 años,No conozco,Menos de 1 año,Laravel (PHP);Ruby on Rails;Symfony (PHP),jQuery;jQuery UI;AngularJS;Backbone.js;React;Ember.js;Vue.js;Kendo,SASS;LESS;PostCSS,Grunt;Gulp;Composer,MySQL,MongoDB,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo",Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework;Apache Cordova;Phonegap
2018/01/11 1:25:05 p. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Mac,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance;Inspector de memoria / Profiles / Memory,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Symfony (PHP),jQuery;jQuery UI;AngularJS;Framework7,SASS;LESS;Stylus,Gulp;WebPack,MySQL;Microsoft SQL Server,MongoDB,Amazon Web Services;Microsoft Azure,Documentación en la web;En la universidad o instituto;Cursos de educación continua (fuera de planes de estudio superior),Android;Webapps móviles (híbridas para cualquier plataforma);iOS,Ionic Framework;Reac Native
2018/01/11 1:26:46 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Zend Framework;Spring Boot (Java),jQuery;jQuery UI;AngularJS;Backbone.js;D3.js;Dojo;Kendo,LESS,,MySQL;Microsoft SQL Server;Oracle Database,MongoDB;Apache Cassandra,Amazon Web Services;Una nube privada (implementación a medida),Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Seminarios Web / Webinars,Webapps móviles (híbridas para cualquier plataforma),Apache Cordova
2018/01/11 2:15:02 p. m. GMT-5,Lima,31 - 40 años,Hombre,Maestría,De 6 a 10 años,Trabajo como dependiente,,,Sí,,No,De 4501 a 5500 soles,Es igual,GNU/Linux,Inspector de memoria / Profiles / Memory,Más de 6 años,No conozco,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Django (Python);Ruby on Rails;Spring Boot (Java),React,PostCSS,WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,,Amazon Web Services;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo",,
2018/01/11 3:16:11 p. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiantes de instituto,De 1 a 3 años,Trabajo como dependiente e independiente,No,No,,,Sí,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Laravel (PHP),jQuery;jQuery UI;AngularJS,SASS;Stylus,,MySQL,,Amazon Web Services;Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups",,
2018/01/11 3:32:11 p. m. GMT-5,Lima,24 - 30 años,Mujer,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 5501 a más,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,Más de 6 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP),jQuery;AngularJS;React;Vue.js,SASS;LESS;Stylus,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB;Redis,Amazon Web Services;IBM Cloud,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),Reac Native
2018/01/11 3:55:34 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,No,No,,,Sí,De 1501 a 2500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de memoria / Profiles / Memory,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,Más de 6 años,De 1 a 3 años,No conozco,CodeIgniter (PHP);Django (Python);Symfony (PHP),jQuery;jQuery UI;Vue.js,SASS;LESS;CoffeeScript,,MySQL;PostgreSQL,MongoDB;Redis,Amazon Web Services,Documentación en la web;Cursos en línea de plataformas de pago;Seminarios Web / Webinars,,
2018/01/11 4:09:33 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 4501 a 5500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,De 4 a 6 años,No conozco,Menos de 1 año,No conozco,No conozco,Spring Boot (Java);Primefaces - Bootsfaces,jQuery;AngularJS,,WebPack,MySQL;Microsoft SQL Server;Oracle Database,,,Cursos de educación continua (fuera de planes de estudio superior),,
2018/01/11 4:42:37 p. m. GMT-5,Lima,24 - 30 años,Mujer,Graduado de universidad,Menos de 1 año,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Symfony (PHP),jQuery;jQuery UI;AngularJS;React,SASS;Stylus;Pug;CoffeeScript,Gulp;WebPack,MySQL,MongoDB,Amazon Web Services,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android,Ionic Framework
